AUBT_memory01: 648.1297><1643.094><252.1295><1225.225><1><><228><163
AUBT_secretF: -739.8719><-91.90684><-246.8704><6.224935><0><><72><43
AUBT_ballastterminalsshelter01: -959.0847><353.0898><-625.1248><284.9895><0><><72><43
AUBT_ballastterminals01: -64.96861><455.7656><83.67189><459.7029><1><><72><83
AUBT_ballastterminals02: -83.74649><1083.464><-250.6297><784.4969><1><><228><163
AUBT_ballastterminals03: -1150.39><361.7397><-830.459><385.6206><1><><72><43
AUBT_ballastterminals04: -815.6909><493.8994><-621.2917><433.1726><1><><72><83
AUBT_ballastterminals05: -816.3864><944.3679><-620.8549><667.5527><1><><72><203
AUBT_ballastterminals06: -1045.549><827.5381><-812.9552><740.9093><1><><72><43
AUBT_ballastterminals07: -1046.761><989.7141><-814.0782><886.8389><1><><72><43
AUBT_ballastterminals08: -815.3596><1580.939><-645.2301><1160.62><1><><98><203
AUBT_ballastterminals09: -1081.174><1515.077><-809.0437><1241.768><1><><72><43
AUBT_ballastterminals10: -1090.513><1722.652><-809.7218><1390.141><1><><72><43
AUBT_ballastterminals11: -83.24615><1643.753><-248.9219><1225.042><1><><228><163
AUBT_ballastterminals13: -1081.085><1898.218><-809.6339><1530.496><1><><72><43
AUBT_ballastterminals14: -815.6859><2037.422><-619.9243><1635.281><1><><72><83
AUBT_ballastterminals22: -586.2626><1463.884><-420.8071><1243.189><1><><72><43
AUBT_vulturetanksshelter01: -151.8718><-477.9069><21.12932><-582.775><2><><72><43
AUBT_vulturetanksshelter02: 465.1281><215.0934><419.1294><160.225><1><><72><43
AUBT_vulturetanks01: 448.1281><-714.9067><341.1294><-623.775><1><><72><123
AUBT_vulturetanks02: 183.128><-577.9067><178.1296><-447.775><1><><72><43
AUBT_vulturetanks03: -77.87218><-409.9068><19.12932><-447.775><1><><72><123
AUBT_vulturetanks04: -411.8719><-440.9068><-262.8705><-462.775><1><><124><43
AUBT_vulturetanks05: -746.8719><-440.9068><-448.8702><-460.775><1><><72><43
AUBT_vulturetanks06: -1188.975><-95.77333><-944.8448><-209.8195><2><><72><43
AUBT_vulturetanks07: -672.8712><-255.9069><-246.8704><-138.775><0><><72><43
